# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	469164
#@/user_id	47d94b64-518c-4017-b837-441ef302fb7b
bang gang nou 	幫剛耨	c=1 d=1 t=309333
bang ge 	幫哥	c=1 d=4.70976e-172 t=469164
bang jia 	綁架	c=2 d=3.72023e-162 t=469164
bang kan 	幫看	c=5 d=1.83943e-23 t=469164
bang kan xia 	幫看下	c=3 d=1 t=374604
bang mang 	幫忙	c=66 d=0.806735 t=469164
bang mang kan kan 	幫忙看看	c=1 d=1.56273e-105 t=469164
bang mian 	幫面	c=1 d=1 t=186578
bang ni 	幫你	c=56 d=2.00262e-23 t=469164
bang ni me 	幫你麼	c=2 d=1 t=284254
bang nong 	幫弄	c=1 d=1.48768e-173 t=469164
bang pai 	幫派	c=1 d=1 t=355253
bang peng you 	幫朋友	c=1 d=1 t=406239
bang ren 	幫人	c=3 d=1.97045 t=345706
bang shang 	幫上	c=1 d=1 t=395949
bang shang 	榜上	c=1 d=2.15288e-80 t=469164
bang shang 	綁上	c=1 d=1 t=392531
bang shou 	幫手	c=1 d=1 t=128433
bang ta 	幫他	c=6 d=3.56718e-109 t=469164
bang ta 	幫她	c=2 d=1 t=284425
bang tong shi 	幫同事	c=1 d=3.59824e-64 t=469164
bang wan 	傍晚	c=4 d=1 t=367198
bang wen xia 	幫問下	c=1 d=1 t=259087
bang wo 	幫我	c=72 d=0.00208081 t=469164
bang wo men 	幫我們	c=7 d=1 t=438770
bang yang 	榜樣	c=1 d=1 t=408304
bang yi qi 	幫一起	c=1 d=1 t=314818
bang zhe 	幫着	c=4 d=1.09787e-70 t=469164
bang zhe 	綁着	c=0 d=0.1 t=382014
bang zhe ni 	幫着你	c=1 d=3.51108e-99 t=469164
bang zhe ni 	綁着你	c=1 d=1 t=382015
bang zhu 	幫主	c=2 d=1.00075 t=420209
bang zhu 	幫助	c=44 d=2.59806e-56 t=469164
bao 	保	c=11 d=4.33393e-13 t=469164
bao 	包	c=177 d=0.0440765 t=469164
bao 	報	c=120 d=6.99959e-10 t=469164
bao 	寶	c=30 d=1.9847e-38 t=469164
bao 	抱	c=5 d=2.70133e-44 t=469164
bao 	暴	c=7 d=7.67523e-94 t=469164
bao 	爆	c=1 d=4.42403e-171 t=469164
bao 	飽	c=1 d=1 t=379863
bao 	鮑	c=3 d=1 t=454444
bao an 	保安	c=1 d=1 t=357978
bao an 	寶安	c=3 d=1 t=189503
bao ban 	報班	c=2 d=1 t=452143
bao bao 	包包	c=1 d=1 t=210574
bao bao 	寶寶	c=15 d=2.92084e-22 t=469164
bao bao 	抱抱	c=2 d=1.66916e-86 t=469164
bao bao 	飽飽	c=1 d=1 t=245380
bao bei 	報備	c=60 d=6.50841e-07 t=469164
bao bei 	寶貝	c=1 d=1 t=240514
bao biao 	保鏢	c=1 d=1 t=109966
bao biao 	報表	c=5 d=1.04221 t=443183
bao biao 	暴表	c=1 d=1 t=149086
bao bu dong 	抱不動	c=1 d=6.09265e-142 t=469164
bao bu qi 	保不齊	c=5 d=1 t=324221
bao bu zhu 	保不住	c=2 d=1.01384 t=219894
bao cang 	爆艙	c=1 d=1 t=284736
bao chan 	包產	c=6 d=1.956 t=413605
bao chang 	包場	c=1 d=1 t=108308
bao chi 	保持	c=80 d=1.42894e-15 t=469164
bao chou 	報酬	c=3 d=1 t=149916
bao chu 	爆出	c=6 d=8.16452e-27 t=469164
bao cun 	保存	c=52 d=1.09209e-07 t=469164
bao cuo 	報錯	c=88 d=0.113042 t=469164
bao dan 	保單	c=1 d=1 t=463293
bao dao 	報到	c=3 d=1 t=248448
bao di 	保底	c=4 d=3.83872e-31 t=469164
bao di 	寶地	c=1 d=1 t=413086
bao dian 	寶典	c=3 d=1 t=398865
bao die 	暴跌	c=1 d=5.72558e-205 t=469164
bao e 	保額	c=10 d=3.1239 t=463283
bao fa 	爆發	c=3 d=4.07474e-174 t=469164
bao fei 	保費	c=8 d=2.80591 t=464770
bao fei 	報廢	c=2 d=1 t=463229
bao feng 	暴風	c=1 d=1 t=239228
bao fu 	包袱	c=2 d=1 t=269457
bao fu 	報復	c=1 d=1 t=437061
bao gao 	報告	c=34 d=2.5445e-09 t=469164
bao gei 	報給	c=9 d=1 t=465235
bao gei ta 	報給他	c=1 d=1 t=196826
bao gong 	包工	c=1 d=1 t=273584
bao guan 	保管	c=3 d=1 t=373005
bao guang 	暴光	c=92 d=5.39612e-09 t=469164
bao guang liang 	暴光量	c=3 d=1.97728 t=465972
bao guang zhi 	暴光值	c=1 d=1 t=166308
bao gui 	寶貴	c=2 d=1 t=312604
bao guo 	包裹	c=3 d=1 t=390626
bao han 	包含	c=20 d=3.29201e-47 t=469164
bao hao 	保號	c=1 d=1 t=379104
bao he 	飽和	c=19 d=2.42126e-21 t=469164
bao hu 	保護	c=10 d=7.28896e-16 t=469164
bao hu fei 	保護費	c=1 d=1 t=288659
bao hu qi 	保護器	c=1 d=1 t=391813
bao hu tao 	保護套	c=7 d=1.16441e-26 t=469164
bao ji 	寶雞	c=1 d=1 t=223355
bao jia 	保價	c=20 d=1 t=469086
bao jia 	報價	c=6 d=1.00002 t=364260
bao jia hu hang 	保駕護航	c=1 d=1 t=361856
bao jian 	保健	c=1 d=8.71171e-144 t=469164
bao jian 	包間	c=7 d=1 t=456407
bao jian pin 	保健品	c=1 d=1 t=403523
